Date,Open,High,Low,Close,Adj Close,Volume
2018-08-09,938.530701,948.581848,884.505493,904.607849,682.882629,21201004
2018-08-10,892.043884,899.582275,817.916321,817.916321,617.439758,22412195
2018-08-13,778.967896,810.377869,737.506714,750.070679,566.223511,23201368
2018-08-14,777.711487,815.403503,745.045105,800.326721,604.161438,20631838
2018-08-15,780.224304,791.531921,760.121887,766.403870,578.553284,14548994
2018-08-16,773.942322,835.505859,772.685913,832.993103,628.821045,18933787
2018-08-17,846.813477,865.659485,791.531921,791.531921,597.522278,19111704
2018-08-20,801.583069,840.531494,772.685913,831.736694,627.872620,14865512
2018-08-21,831.736694,849.326294,814.147095,845.557068,638.305542,11553821
2018-08-22,829.223877,843.044312,816.659912,816.659912,616.491272,8331647
2018-08-23,816.659912,824.198303,783.993469,789.019104,595.625427,10305094
2018-08-24,792.788269,815.403503,791.531921,807.865112,609.852173,11314260
2018-08-27,826.711060,883.249084,826.711060,873.197876,659.171448,14953113
2018-08-28,888.274658,890.787476,848.069885,848.069885,640.202454,12348331
2018-08-29,864.403076,887.018311,855.608276,885.761902,668.655945,11767679
2018-08-30,893.300293,894.556702,869.428711,874.454285,660.119873,8407351
2018-08-31,874.454285,881.992676,866.915894,876.967102,662.016785,6539624
2018-09-03,871.941467,873.197876,790.275513,790.275513,596.573853,13147897
2018-09-04,785.249878,806.608704,743.788696,791.531921,597.522278,18684360
2018-09-05,790.275513,805.352295,763.891113,767.660278,579.501770,9886777
2018-09-06,770.173096,783.993469,741.275879,747.557922,564.326660,17198834
2018-09-07,738.763123,751.327087,673.430298,684.737915,516.904236,20440597
2018-09-10,691.019897,697.301880,647.045898,668.404724,504.574432,17566032
2018-09-11,685.994324,712.378723,670.917480,685.994324,517.852722,14128339
2018-09-12,680.968689,680.968689,653.327942,663.379089,500.780579,12220740
2018-09-13,679.712280,688.507080,636.994690,638.251099,481.811646,11815675
2018-09-14,657.097107,685.994324,628.199890,670.917480,506.471313,20958180
2018-09-17,668.404724,675.943115,655.840698,669.661133,505.522827,7540112
2018-09-18,655.840698,663.379089,629.456299,629.456299,475.172455,12529157
2018-09-19,642.020325,655.840698,597.418091,601.815491,454.306610,19459081
2018-09-20,603.071899,625.058899,579.200317,615.635925,464.739563,24003900
2018-09-21,635.738342,645.789490,621.289734,645.789490,487.502319,16645349
2018-09-25,631.969116,664.635498,629.456299,635.738342,479.914795,12819216
2018-09-26,638.251099,647.045898,615.635925,615.635925,464.739563,11182359
2018-09-27,603.071899,618.148743,584.225952,585.482300,441.976746,14184169
2018-09-28,591.764343,594.277100,567.892700,576.687500,435.337708,21313208
2018-10-01,579.200317,591.764343,569.149109,590.507935,445.770599,9297322
2018-10-02,595.533508,604.328308,575.431152,575.431152,434.389282,14102058
